symbol,shortName,sector,industry,marketCap,Market_Cap_B,trailingEps,forwardEps,trailingPE,forwardPE,priceToBook,ROE_%,ROA_%,debtToEquity,Dividend_Yield_%,beta,52W_High,52W_Low
SBMA,Surya Biru Murni Acetylene Tbk.,Basic Materials,Chemicals,120890417152.0,120.890417152,11.816,,11.002031,,0.5155804,5.96,4.226,11.539,308.0,-0.466,155.0,104.0
SCCO,Supreme Cable Manufacturing & C,Industrials,Electrical Equipment & Parts,2014717280256.0,2014.717280256,338.99,,7.227352,,0.3610487,5.7700000000000005,4.059,,412.0,0.094,2860.0,1870.0
SCMA,Surya Citra Media Tbk,Communication Services,Broadcasting,22975189352448.0,22975.189352448,10.66,14.99,33.958725,24.149433,3.3147755,6.925000000000001,4.491000199999999,0.318,730.0,0.557,472.0,118.0
SCNP,Selaras Citra Nusantara Perkasa,Technology,Consumer Electronics,404999995392.0,404.999995392,-1.999,,,,1.0794387,4.3169998000000005,-0.736,,67.0,0.32,230.0,131.0
SCPI,"SCPI.JK,0P0000B82V,0",,,,,,,,,,,,,,,29000.0,0.0
SDMU,Sidomulyo Selaras Tbk.,Industrials,Trucking,68113498112.0,68.113498112,-11.26,,,,3.6598759,-49.008,-3.743,530.641,,0.059,91.0,23.0
SDPC,Millennium Pharmacon Internatio,Healthcare,Medical Distribution,177086005248.0,177.086005248,13.19,,10.538287,,0.58959264,5.6479998,3.27,282.436,145.0,0.287,183.0,114.0
SDRA,Bank Woori Saudara Indonesia 19,Financial Services,Banks - Regional,4172581961728.0,4172.581961728,10.69,,26.566887,,0.30388373,0.5599999999999999,0.131,,284.0,-0.037,450.0,278.0
SEMA,Semacom Integrated Tbk.,Industrials,Specialty Industrial Machinery,136073150464.0,136.073150464,17.471,,5.7810082,,0.84718746,5.688,1.7680000000000002,33.963,,-0.198,124.0,73.0
SFAN,Surya Fajar Capital Tbk.,Financial Services,Asset Management,2617873006592.0,2617.873006592,-14.02,,,,22.849207,-17.058,-10.35,4.385,,0.165,1935.0,1825.0
SGER,Sumber Global Energy Tbk.,Energy,Thermal Coal,7014108889088.0,7014.108889088,17.93,,25.0976,,3.1920552,12.696,5.638,87.347,815.0,-0.468,575.0,248.0
SGRO,Sampoerna Agro Tbk,Consumer Defensive,Farm Products,13048612913152.0,13048.612913152,619.97,161.21,11.573141,44.507164,2.2917898,18.419,10.5900005,48.328,548.0,0.11,7225.0,1985.0
SHID,Hotel Sahid Jaya International ,Consumer Cyclical,Lodging,962620555264.0,962.620555264,-46.1,,,,1.2887853,,,58.312,,-0.286,1380.0,615.0
SHIP,Sillo Maritime Perdana Tbk.,Energy,Oil & Gas Equipment & Services,15230824349696.0,15230.824349696,125.44,,44.642857,,103703.7,8.408999999999999,5.4,105.564,185.0,,7700.0,765.0
